Year,Age,Suicides,Age_group
1981,10,0,10-19
1981,11,0,10-19
1981,12,2,10-19
1981,13,2,10-19
1981,14,1,10-19
1981,15,20,10-19
1981,16,31,10-19
1981,17,36,10-19
1981,18,49,10-19
1981,19,56,10-19
1981,20,58,20-29
1981,21,58,20-29
1981,22,62,20-29
1981,23,89,20-29
1981,24,77,20-29
1981,25,72,20-29
1981,26,69,20-29
1981,27,84,20-29
1981,28,87,20-29
1981,29,96,20-29
1981,30,98,30-39
1981,31,92,30-39
1981,32,92,30-39
1981,33,84,30-39
1981,34,84,30-39
1981,35,90,30-39
1981,36,93,30-39
1981,37,85,30-39
1981,38,98,30-39
1981,39,68,30-39
1981,40,85,40-49
1981,41,81,40-49
1981,42,89,40-49
1981,43,97,40-49
1981,44,87,40-49
1981,45,98,40-49
1981,46,63,40-49
1981,47,98,40-49
1981,48,88,40-49
1981,49,107,40-49
1981,50,112,50-59
1981,51,116,50-59
1981,52,106,50-59
1981,53,103,50-59
1981,54,100,50-59
1981,55,110,50-59
1981,56,107,50-59
1981,57,110,50-59
1981,58,112,50-59
1981,59,118,50-59
1981,60,123,60-69
1981,61,122,60-69
1981,62,75,60-69
1981,63,75,60-69
1981,64,84,60-69
1981,65,90,60-69
1981,66,78,60-69
1981,67,109,60-69
1981,68,101,60-69
1981,69,86,60-69
1981,70,74,70-79
1981,71,80,70-79
1981,72,87,70-79
1981,73,89,70-79
1981,74,87,70-79
1981,75,79,70-79
1981,76,65,70-79
1981,77,57,70-79
1981,78,55,70-79
1981,79,47,70-79
1981,80,40,80-89
1981,81,45,80-89
1981,82,29,80-89
1981,83,26,80-89
1981,84,23,80-89
1981,85,23,80-89
1981,86,14,80-89
1981,87,12,80-89
1981,88,7,80-89
1981,89,7,80-89
1982,10,0,10-19
1982,11,0,10-19
1982,12,0,10-19
1982,13,4,10-19
1982,14,3,10-19
1982,15,10,10-19
1982,16,24,10-19
1982,17,30,10-19
1982,18,35,10-19
1982,19,52,10-19
1982,20,73,20-29
1982,21,60,20-29
1982,22,58,20-29
1982,23,68,20-29
1982,24,82,20-29
1982,25,71,20-29
1982,26,92,20-29
1982,27,80,20-29
1982,28,86,20-29
